id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
44293043,6807612,t,Berkeley,39.7726994,-105.0343738,Entire guesthouse,Entire home/apt,3,1.0,0.0,138.0,255,35190.0,4.76,100.0,<=300
45400111,365808978,t,Five Points,39.76539993286133,-104.9800033569336,Entire condo,Entire home/apt,8,2.0,2.0,196.0,238,46648.0,4.74,93.33333333333333,<=300
45400123,365808978,t,Five Points,39.76432,-104.98036,Entire condo,Entire home/apt,6,2.0,2.0,183.0,203,37149.0,4.74,79.6078431372549,<=300
45400126,365808978,t,Five Points,39.76539993286133,-104.9800033569336,Entire condo,Entire home/apt,8,2.0,3.0,251.0,182,45682.0,4.66,71.37254901960785,<=300
45400129,365808978,t,Five Points,39.7654,-104.98,Entire condo,Entire home/apt,6,2.0,2.0,188.0,203,38164.0,4.66,79.6078431372549,<=300
45724176,50403533,t,Cheesman Park,39.73377,-104.97048,Entire guest suite,Entire home/apt,3,1.0,1.0,134.0,245,32830.0,4.84,96.07843137254902,<=300
45780717,371139938,t,North Capitol Hill,39.74679,-104.97939,Entire condo,Entire home/apt,2,2.0,1.0,275.0,196,53900.0,4.95,76.86274509803923,<=300
45859702,37078301,t,Baker,39.71904,-104.99609,Entire townhouse,Entire home/apt,4,2.5,2.0,298.0,231,68838.0,4.84,90.58823529411765,<=300
45863602,72164908,t,Lincoln Park,39.73432,-105.00187,Entire townhouse,Entire home/apt,9,3.5,3.0,277.0,245,67865.0,4.8,96.07843137254902,<=300
45877458,187875664,t,Five Points,39.76018,-104.9798,Entire home,Entire home/apt,4,1.0,2.0,234.0,255,59670.0,4.92,100.0,<=300
45935645,112904801,t,Congress Park,39.73248,-104.9552,Entire home,Entire home/apt,6,2.0,3.0,226.0,140,31640.0,4.84,54.90196078431373,<=300
45996447,114912931,f,Stapleton,39.7861,-104.89067,Entire townhouse,Entire home/apt,7,2.5,2.0,227.0,196,44492.0,4.87,76.86274509803923,<=300
46071432,7439581,t,Sunnyside,39.77329,-105.01379,Entire guesthouse,Entire home/apt,6,1.0,2.0,155.0,217,33635.0,4.88,85.09803921568627,<=300
46081645,373482356,t,Berkeley,39.77915,-105.03496,Entire guesthouse,Entire home/apt,3,1.0,1.0,121.0,255,30855.0,4.93,100.0,<=300
46156938,186966466,f,Five Points,39.759567,-104.987122,Entire condo,Entire home/apt,4,1.5,1.0,144.0,232,33408.0,4.93,90.98039215686275,<=300
46375501,50403533,t,Capitol Hill,39.72849,-104.9773,Entire guesthouse,Entire home/apt,3,1.0,1.0,134.0,255,34170.0,4.9,100.0,<=300
46588766,23572618,f,North Park Hill,39.76061,-104.92825,Entire guest suite,Entire home/apt,2,1.0,2.0,141.0,255,35955.0,4.9,100.0,<=300
46678122,2461481,t,Capitol Hill,39.73917,-104.97334,Entire home,Entire home/apt,10,2.0,4.0,282.0,210,59220.0,4.92,82.35294117647058,<=300
46746974,11512929,t,Platt Park,39.68393,-104.98401,Entire guesthouse,Entire home/apt,2,1.0,1.0,138.0,255,35190.0,4.91,100.0,<=300
46793366,277504731,f,Lincoln Park,39.727,-105.00171,Entire home,Entire home/apt,12,1.0,3.0,268.0,112,30016.0,4.67,43.92156862745098,<=300
46816242,33156641,t,Regis,39.78862,-105.04456,Entire home,Entire home/apt,4,1.0,2.0,193.0,217,41881.0,4.96,85.09803921568627,<=300
46847951,60414610,t,Sloan Lake,39.75056,-105.03722,Entire guesthouse,Entire home/apt,4,1.0,2.0,137.0,255,34935.0,4.94,100.0,<=300
47287150,120016948,t,Athmar Park,39.70803,-105.01209,Entire home,Entire home/apt,6,1.0,3.0,171.0,255,43605.0,4.88,100.0,<=300
47325308,72878982,t,West Highland,39.7595,-105.05197,Entire guest suite,Entire home/apt,2,1.0,1.0,158.0,255,40290.0,4.95,100.0,<=300
47921405,385618644,f,Union Station,39.75316,-105.00577,Entire rental unit,Entire home/apt,4,2.0,2.0,194.0,232,45008.0,4.78,90.98039215686275,<=300
48195558,124761061,t,Harvey Park South,39.66003,-105.053,Entire guest suite,Entire home/apt,4,1.0,2.0,162.0,255,41310.0,4.88,100.0,<=300
48296152,372227538,t,Highland,39.76637,-105.01875,Entire guest suite,Entire home/apt,4,1.0,1.0,142.0,255,36210.0,4.96,100.0,<=300
48398931,109144183,f,Highland,39.76287,-105.02011,Entire home,Entire home/apt,4,1.5,2.0,216.0,203,43848.0,4.91,79.6078431372549,<=300
48405300,203311056,f,Baker,39.721,-104.99711,Entire guest suite,Entire home/apt,5,1.0,2.0,143.0,255,36465.0,4.66,100.0,<=300
48423750,9524940,t,Five Points,39.75324,-104.9841,Entire townhouse,Entire home/apt,6,2.5,3.0,252.0,255,64260.0,4.87,100.0,<=300
48560151,18714604,t,North Park Hill,39.75967,-104.90901,Entire home,Entire home/apt,5,2.0,3.0,150.0,255,38250.0,4.89,100.0,<=300
48764824,107279139,t,North Capitol Hill,39.7465,-104.982,Entire home,Entire home/apt,10,3.5,4.0,259.0,182,47138.0,4.63,71.37254901960785,<=300
49080149,151849004,t,University Park,39.67905,-104.95089,Entire guest suite,Entire home/apt,4,1.0,2.0,163.0,255,41565.0,4.93,100.0,<=300
49113893,252583587,t,Regis,39.7916,-105.03085,Entire home,Entire home/apt,10,2.0,5.0,196.0,231,45276.0,4.84,90.58823529411765,<=300
49139097,14124542,t,Washington Park,39.70817,-104.96864,Entire home,Entire home/apt,2,1.0,1.0,128.0,255,32640.0,4.91,100.0,<=300
49158338,40540817,t,Five Points,39.7615,-104.97748,Entire townhouse,Entire home/apt,4,1.0,2.0,148.0,255,37740.0,4.93,100.0,<=300
49172559,124043026,f,Highland,39.76453,-105.00841,Entire home,Entire home/apt,6,3.0,3.0,296.0,112,33152.0,4.87,43.92156862745098,<=300
49515513,9447036,t,CBD,39.7467862324537,-104.9929288962273,Entire loft,Entire home/apt,2,1.0,1.0,134.0,255,34170.0,4.85,100.0,<=300
49518796,255379575,t,Whittier,39.75265,-104.96838,Entire guesthouse,Entire home/apt,3,1.0,1.0,153.0,255,39015.0,4.9,100.0,<=300
49630898,401159506,t,Cory - Merrill,39.69013162813286,-104.94272554688082,Entire home,Entire home/apt,10,3.0,5.0,177.0,255,45135.0,4.85,100.0,<=300
49641472,72164908,t,Speer,39.71738,-104.98502,Entire guest suite,Entire home/apt,4,1.0,2.0,133.0,255,33915.0,4.7,100.0,<=300
50053026,111180459,t,Baker,39.722763,-104.991074,Entire home,Entire home/apt,8,2.0,3.0,242.0,255,61710.0,4.86,100.0,<=300
50112897,404330571,t,Hale,39.73423,-104.93073,Entire home,Entire home/apt,2,1.0,1.0,138.0,255,35190.0,4.92,100.0,<=300
50270167,401251189,t,Highland,39.758202,-105.015572,Entire condo,Entire home/apt,12,2.5,3.0,226.0,255,57630.0,4.73,100.0,<=300
50397093,407124285,f,Cheesman Park,39.73708,-104.96943,Entire rental unit,Entire home/apt,4,1.0,1.0,179.0,255,45645.0,4.7,100.0,<=300
50417342,53225583,t,Sunnyside,39.77271,-105.02318,Entire guesthouse,Entire home/apt,4,1.0,2.0,189.0,255,48195.0,4.96,100.0,<=300
50421563,401251189,t,Highland,39.757935,-105.01548,Entire condo,Entire home/apt,12,2.5,3.0,268.0,255,68340.0,4.84,100.0,<=300
